Date;23-9-2021;;;;;;;;;;;
Type;MAJOR FLAG;STOCK TYPE;QUOTE INDICATOR;GEOGRAPHIC DESCR.;GEOG DESC OF LSTNG;CURRENCY;ISIN ISSUER CTRY;NAME;FULL NAME;COMPANY NAME;ISIN CODE;CURRENCY
998477;Y;UT;NA;NETHERLANDS;NA;E;NL;AMVABEL DEAD - DEAD 14/03/02;AMVABEL DEAD - DEAD 14/03/02;AMVABEL;NL0000285120;E 
27507F;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;ANTILLIAANSE VERFFABRIEK NV;ANTILLIAANSE VERFFABRIEK NV;ANTILLIAANSE VERFFABRIEK;NA;E 
301773;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ARCADIS;ARCADIS;ARCADIS NV;NL0006237562;E 
67495K;N;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;ARCELORMITTAL;ARCELORMITTAL;ARCELORMITTAL;NA;E 
28033R;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ARCONA PROPERTY FUND;ARCONA PROPERTY FUND;ARCONA PROPERTY FUND;NL0006311706;E 
888051;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ASM INTERNATIONAL;ASM INTERNATIONAL;ASM INTERNATIONAL;NL0000334118;E 
152001;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ASML HOLDING;ASML HOLDING;ASML HOLDING NV;NL0010273215;E 
307013;Y;UT;P;NETHERLANDS;NA;E;NL;ASN DUURZAAM MIX FONDS DEAD - Merged:9041WQ;ASN DUURZAAM MIX FONDS DEAD - Merged:9041WQ;ASN DUURZAAM MIX FONDS;NL0000280089;E 
7493HR;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ASR NEDERLAND;ASR NEDERLAND;ASR NEDERLAND;NL0011872643;E 
923535;Y;EQ;S;NETHERLANDS;NETHERLANDS;E;NL;ASR VERZEKERINGSGROEP DEAD - DELIST.21/03/01;ASR VERZEKERINGSGROEP DEAD - DELIST.21/03/01;ASR VERZEKERINGSGROEP;NL0000301380;E 
411187;Y;EQ;P;POLAND;POLAND;PZ;NL;ASTARTA HOLDING;ASTARTA HOLDING;ASTARTA HOLDING NV;NL0000686509;PZ
686641;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ASTRA INFORMATICA GROEP DEAD - MERGER 289246;ASTRA INFORMATICA GROEP DEAD - MERGER 289246;ASTRA INFORMATICA GROEP;NL0000335651;E 
756566;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ATAG GROUP DEAD - DELIST 01/11/01;ATAG GROUP DEAD - DELIST 01/11/01;ATAG GROUP NV;NL0000335743;E 
932887;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ATHLON HOLDING;ATHLON HOLDING;ATHLON HOLDING NV;NL0000380210;E 
