Date;23-9-2021;;;;;;;;;;;
Type;MAJOR FLAG;STOCK TYPE;QUOTE INDICATOR;GEOGRAPHIC DESCR.;GEOG DESC OF LSTNG;CURRENCY;ISIN ISSUER CTRY;NAME;FULL NAME;COMPANY NAME;ISIN CODE;CURRENCY
932876;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DNC DE NED. DEAD - 31/12/08;DNC DE NEDERLANDS DEAD - 31/12/08;DNC DE NEDERLANDS COMPANY NV;NL0000376044;E 
51137F;Y;EQ;P;NORWAY;NORWAY;NK;BM;DOCKWISE DEAD - 22/04/13;DOCKWISE DEAD - 22/04/13;DOCKWISE LIMITED;BMG2786A1062;NK
923527;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DORDTSCHE PTL.INDS. DEAD - DELIST 17/12/01;DORDTSCHE PETROLEUM INDUSTRIES DEAD - DELIST 17/12/01;DORDTSCHE PETROLEUM INDUSTRIES;NL0000009405;E 
932802;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DORP VAN DESPEC GROEP DEAD - DELIST.06/04/01;DORP VAN DESPEC GROEP DEAD - DELIST.06/04/01;DORP VAN DESPEC GROUP;NL0000347250;E 
697057;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DPA GROUP;DPA GROUP;DPA GROUP NV;NL0009197771;E 
307364;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DRAKA HOLDINGS DEAD - 07/04/11;DRAKA HOLDINGS DEAD - 07/04/11;DRAKA HOLDING NV;NL0000347813;E 
779426;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DSM KONINKLIJKE;DSM KONINKLIJKE;KONINKLIJKE DSM;NL0000009827;E 
139510;Y;UT;NA;NETHERLANDS;NA;E;NL;DUCATUS DEAD - 15/12/09;DUCATUS DEAD - 15/12/09;DUCATUS;NL0000285823;E 
892007;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;EASY2PAY;EASY2PAY;EASE2PAY NV;NL0000345627;E 
932806;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ECONOSTO KON. DEAD - 07/07/08;ECONOSTO KONINKLIJKE DEAD - 07/07/08;KONINKLIJKE ECONOSTO NV;NL0000349033;E 
29747X;Y;GDR;P;RUSSIAN FEDERATION;UNITED KINGDOM;U$;US;EFES BREWERIES INTL.GDR REG S;EFES BREWERIES INTERNATIONAL GDR REG S;EFES BREWERIES INTERNATIONAL;US26843E2046;U$
923921;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;EMBA DEAD - 08/10/07;EMBA DEAD - 08/10/07;EMBA NV;NL0000349876;E 
730983;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;EMIS EURO.MARKETING INFO.;EMIS EUROPEENNE MARKETING INFORMATION;EMIS EUROMARKETING INFORMATION;NL0000440444;E 
32363V;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ENDEMOL DEAD - 12/09/07;ENDEMOL DEAD - 12/09/07;ENDEMOL;NL0000345692;E 
882428;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ENDEMOL ENTERTAINMENT DEAD - DEL. 08/09/00;ENDEMOL ENTERTAINMENT DEAD - DELAWARE 08/09/00;ENDEMOL ENTERTAINMENT;NL0000345676;E 
685172;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ENVIPCO HOLDING;ENVIPCO HOLDING;ENVIPCO HOLDING NV;NL0015000GX8;E 
685133;Y;EQ;S;FRANCE;FRANCE;E;NL;EQUANT (PAR) DEAD - MERGED 885569;EQUANT (PAR) DEAD - MERGED 885569;EQUANT NV;NL0000200889;E 
923871;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ERIKS DEAD - 28/09/09;ERIKS DEAD - 28/09/09;ERIKS NV;NL0000350387;E 
50565Q;Y;EQ;P;UNITED STATES;UNITED STATES;U$;NL;EURAND NV DEAD - DELIST.02/03/11;EURAND NV DEAD - DELIST.02/03/11;EURAND NV;NL0000886448;U$
307406;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;EUROCOMMERCIAL PROPERTIES;EUROCOMMERCIAL PROPERTIES;EUROCOMMERCIAL DUTCH NV;NL0015000K93;E 
259413;Y;EQ;P;FRANCE;FRANCE;E;NL;EURONEXT DEAD - 21/05/08;EURONEXT DEAD - 21/05/08;EURONEXT NV;NL0000290641;E 
966929;Y;INVT;P;UNITED KINGDOM;UNITED KINGDOM;£;GB;EUROPEAN ASSETS TRUST;EUROPEAN ASSETS TRUST;EUROPEAN ASSETS TRUST PUBLIC LIMITED COMPANY;GB00BHJVQ590;£ 
2561TF;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;EUROPEAN FINTECH IPO 1;EUROPEAN FINTECH IPO 1;EUROPEAN FINTECH IPO COMPANY 1 BV;NL00150006Z9;E 
143364;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;EVC INTERNATIONAL DEAD - 23/10/06;EVC INTERNATIONAL DEAD - 23/10/06;EVC INTERNATIONAL NV;NL0000350452;E 
698444;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;EXACT HOLDING DEAD - 31/03/15;EXACT HOLDING DEAD - 31/03/15;EXACT HOLDING NV;NL0000350361;E 
41389R;Y;EQ;P;NORWAY;NORWAY;NK;NL;FAIRSTAR HEAVY TRAN. DEAD - DEAD;FAIRSTAR HEAVY TRANSPORT DEAD - DEAD;FAIRSTAR HEAVY TRANSPORT NV;NL0000026292;NK
9450K3;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;FASTNED DUTCH CERTIFICATES;FASTNED DUTCH CERTIFICATES;FASTNED BV;NL0013654809;E 
504510;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;FLEXOVIT INTL. DEAD - DELIST 02/10/98;FLEXOVIT INTERNATIONAL DEAD - DELIST 02/10/98;FLEXOVIT INTERNATIONAL;NL0000350544;FL
9749G6;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;FLOW TRADERS;FLOW TRADERS;FLOW TRADERS;NL0011279492;E 
755183;Y;EQ;P;NETHERLANDS;BELGIUM;E;BE;FNG SUSP - SUSP.11/05/20;FNG SUSP - SUSPENDED 11/05/20;FNG NV;BE0974332646;E 
930153;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;FOKKER CERT. DEAD - DELIST 05/03/98;FOKKER CERTIFICATE DEAD - DELIST 05/03/98;FOKKER PTO;NL0000352094;FL
7418LH;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;FORFARMERS;FORFARMERS;FORFARMERS;NL0011832811;E 
27959T;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;FORTIS (NL) NV DEAD - DELIST;FORTIS (NL) NV DEAD - DELIST;FORTIS (NL) NV;NL0000300838;E 
508214;Y;UT;NA;NETHERLANDS;NA;E;NL;FORTIS AZIE FON.;FORTIS AZIE FONDS;FORTIS AZIE FONDS;NL0000282630;E 
740860;Y;UT;NA;NETHERLANDS;NA;E;NL;FORTIS EU.SMALLCAP FD.;FORTIS EUROPE SMALLCAP FUND;FORTIS EUROPE SMALLCAP FUND;NL0000282622;E 
508487;Y;UT;NA;NETHERLANDS;NA;E;NL;FORTIS WERELD MIX FONDS;FORTIS WERELD MIX FONDS;FORTIS WERELD MIX FONDS;NL0000285864;E 
72483D;Y;EQ;P;NETHERLANDS;CZECH REPUBLIC;CK;NL;FORTUNA ENTM.GROUP DEAD - DELIST.11/06/18;FORTUNA ENTERTAINMENT GROUP DEAD - DELIST.11/06/18;FORTUNA ENTERTAINMENT GROUP NV;NL0009604859;CK
755256;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;FRANS MAAS GROEP KON. DEAD - 26/04/06;FRANS MAAS GROEP KONINKLIJKE DEAD - 26/04/06;FRANS MAAS GROEP KONINKLIJKE;NL0000366649;E 
505082;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;FREE RECORD SHOP DEAD - DELIST 11/03/02;FREE RECORD SHOP DEAD - DELIST 11/03/02;FREE RECORD SHOP;NL0000441202;E 
50978K;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;FUEL TECH;FUEL TECH;FUEL TECH;NA;E 
307521;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;FUGRO;FUGRO;FUGRO C DUTCH CERT NV;NL00150003E1;E 
32532F;Y;EQ;P;NORWAY;NORWAY;NK;NO;FUNCOM DEAD - DELIST.23/07/20;FUNCOM DEAD - DELIST.23/07/20;FUNCOM SE;NO0010887029;NK
932811;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;FURNESS;FURNESS;FURNESS;NL0000352458;FL
29498E;Y;EQ;P;ISRAEL;ISRAEL;I£;NL;G T C DEAD - 16/12/08;G T C DEAD - 16/12/08;G T C REAL ESTATE NV;NL0000414480;I£
929306;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;GAMMA HOLDING DEAD - 29/04/11;GAMMA HOLDING DEAD - 29/04/11;GAMMA HOLDING NV;NL0000355824;E 
741332;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;GELDERSE PAPIERGROEP DEAD - DEL. 08/09/00;GELDERSE PAPIERGROEP DEAD - DELAWARE 08/09/00;GELDERSE PAPIERGROEP;NL0000440394;E 
28985C;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;GEMALTO DEAD - DELIST.29/05/19;GEMALTO DEAD - DELIST.29/05/19;GEMALTO HOLDING BV;NL0000400653;E 
888804;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;GEOJUNXION;GEOJUNXION;GEOJUNXION NV;NL0000430106;E 
929460;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;GETRONICS DEAD - 12/12/07;GETRONICS DEAD - 12/12/07;GETRONICS NV;NL0000853091;E 
701895;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;GEVEKE DEAD - DEAD 26/02/03;GEVEKE DEAD - DEAD 26/02/03;GEVEKE NV;NL0000356004;E 
932818;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;GIESSEN-DE NOORD DEAD - T/O 916775;GIESSEN-DE NOORD DEAD - T/O 916775;GIESSEN-DE NOORD PTO;NL0000354058;FL
772837;Y;UT;NA;NETHERLANDS;NA;E;NL;GILISSEN QUALITY GROWTH DEAD;GILISSEN QUALITY GROWTH DEAD;GILISSEN QUALITY GROWTH;NL0000285625;E 
916417;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;GIST-BROCADES CERT. DEAD - DELIST.27/08/98;GIST-BROCADES CERTIFICATE DEAD - DELIST.27/08/98;KONINKLIJKE GIST-BROCADES PTO;NL0000354298;FL
41471H;Y;EQ;P;NETHERLANDS;POLAND;PZ;NL;GLOBAL CITY HOLDINGS DEAD - 29/09/15;GLOBAL CITY HOLDINGS DEAD - 29/09/15;GLOBAL CITY HOLDINGS SA;NL0000687309;PZ
745099;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;GOUDA VUURVAST HOLDING DEAD - T/O 316461;GOUDA VUURVAST HOLDING DEAD - T/O 316461;GOUDA VUURVAST HOLDING NV;NL0000440667;E 
9310FD;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;GRANDVISION;GRANDVISION;GRANDVISION;NL0010937066;E 
681210;Y;EQ;S;HUNGARY;GERMANY;E;HU;GRAPHISOFT (FRA) DEAD - 15/06/07;GRAPHISOFT (FRA) DEAD - 15/06/07;GRAPHISOFT RT;HU0000080767;E 
932821;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;GRASSO TAKEOVER 31/01/92;GRASSO TAKEOVER 31/01/92;GRASSO;NA;FL
772367;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;GROENENDIJK BEHEER CERT.;GROENENDIJK BEHEER CERTIFICATE;GROENENDIJK BEHEER CERTIFICATE;NA;E 
946398;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;GROLSCH (KON.) DEAD - TAKEOVER;GROLSCH (KONINKLIJKE) DEAD - TAKEOVER;KONINKLIJKE GROLSCH NV;NL0000354793;E 
998414;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;GRONTMIJ DEAD - 19/11/15;GRONTMIJ DEAD - 19/11/15;GRONTMIJ NV;NL0010200358;E 
702362;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;GROOTHANDEL C DUTCH CERT.;GROOTHANDEL C DUTCH CERTIFICATE;GROOTHANDEL C DUTCH NV;NL0000440824;E 
27507R;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;GROOTINT HOLDING BV DEAD - DEAD;GROOTINT HOLDING BV DEAD - DEAD;GROOTINT HOLDING BV;NA;E 
933607;Y;EQ;S;NETHERLANDS;NETHERLANDS;E;NL;GTI HOLDING DEAD - DELIST 26/10/01;GTI HOLDING DEAD - DELIST 26/10/01;NV GTI HOLDINGS;NL0000356376;E 
303454;N;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;GUCCI GROUP DEAD - T/O BY 923657;GUCCI GROUP DEAD - T/O BY 923657;GUCCI GROUP INCORPORATED;NL0000359552;E 
929307;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HAGEMEYER DEAD - T/O BY 316461;HAGEMEYER DEAD - T/O BY 316461;HAGEMEYER NV;NL0000355477;E 
951784;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;BM;HAL TRUST;HAL TRUST;HAL TRUST NV;BMG455841020;E 
698848;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HASLEMERE DEAD - DELIST 08/12/04;HASLEMERE DEAD - DELIST 08/12/04;HASLEMERE NV;NL0000289338;E 
741593;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;HCS TECHNOLOGY;HCS TECHNOLOGY;HCS TECHNOLOGY;NL0000358018;FL
265547;Y;EQ;P;AUSTRIA;AUSTRIA;E;NL;HEAD NV DEAD - 01/04/15;HEAD NV DEAD - 01/04/15;HEAD NV;NL0000238301;E 
309341;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HEIJMANS;HEIJMANS;HEIJMANS NV;NL0009269109;E 
905001;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HEINEKEN;HEINEKEN;HEINEKEN NV;NL0000009165;E 
929708;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HEINEKEN HOLDING;HEINEKEN HOLDING;HEINEKEN HOLDING PUBLIC LIMITED COMPANY;NL0000008977;E 
505408;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HELVOET HLDG. DEAD - DELIST 17/05/02;HELVOET HOLDING DEAD - DELIST 17/05/02;HELVOET HOLDING;NL0000440345;E 
929956;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HES - BEHEER DEAD - 03/11/14;HES - BEHEER DEAD - 03/11/14;HES - BEHEER NV;NL0000358125;E 
932837;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HIM FURNESS DEAD - DELIST 12/05/00;HIM FURNESS DEAD - DELIST 12/05/00;HIM FURNESS;NL0000358919;E 
681292;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HITT NM DEAD - 15/11/12;HITT NM DEAD - 15/11/12;HITT NM NV;NL0000358158;E 
932824;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HOEK'S MACHINE DEAD - DELIST.27/06/00;HOEK'S MACHINE DEAD - DELIST.27/06/00;HOEK'S MACHINE PTO;NL0000358232;E 
923990;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;HOLEC;HOLEC;HOLEC;NL0000358372;FL
896531;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HOLLAND CHEMICAL INTL. DEAD - DELIST 24/11/00;HOLLAND CHEMICAL INTERNATIONAL DEAD - DELIST 24/11/00;HOLLAND CHEMICAL INTERNATIONAL;NL0000358943;E 
504918;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HOLLAND COLOURS;HOLLAND COLOURS;HOLLAND COLOURS NV;NL0000440311;E 
916817;Y;UT;P;NETHERLANDS;NA;E;NL;HOLLAND FUND DEAD - Merged:307278;HOLLAND FUND DEAD - Merged:307278;HOLLAND FUND;NL0000286920;E 
929781;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;HOLLAND SEA SEARCH DEAD - DELIST.05/01/96;HOLLAND SEA SEARCH DEAD - DELIST.05/01/96;HOLLAND SEA SEARCH;NL0000358471;FL
912395;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HOLLANDSCHE BETON GROEP DEAD - DELIST 23/05/02;HOLLANDSCHE BETON GROEP DEAD - DELIST 23/05/02;HOLLANDSCHE BETON GROEP NV;NL0000359024;E 
922836;N;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HOOGOVENS DEAD - T/O BY 953191;HOOGOVENS DEAD - T/O BY 953191;KONINKLIJKE HOOGOVENS NV;NL0000009231;E 
933240;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;AN;HUNTER DOUGLAS;HUNTER DOUGLAS;HUNTER DOUGLAS;ANN4327C1220;E 
896676;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;HYDRATEC INDUSTRIES;HYDRATEC INDUSTRIES;HYDRATEC INDUSTRIES NV;NL0009391242;E 
897830;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ICT GROUP DEAD - DELIST.06/09/21;ICT GROUP DEAD - DELIST.06/09/21;ICT GROUP NV;NL0000359537;E 
884290;Y;EQ;P;UNITED STATES;UNITED STATES;U$;NL;ICTS INTERNATIONAL NV;ICTS INTERNATIONAL NV;ICTS INTERNATIONAL NV;NL0000226892;U$
998418;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;IEX GROUP;IEX GROUP;IEX GROUP;NL0010556726;E 
287933;Y;EQ;S;NETHERLANDS;GERMANY;E;NL;IFCO SYSTEMS DEAD - 17/10/11;IFCO SYSTEMS DEAD - 17/10/11;IFCO SYSTEMS;NL0000268456;E 
93832N;Y;EQ;P;SWITZERLAND;SWITZERLAND;SF;NL;IGEA PHARMA N;IGEA PHARMA N;IGEA PHARMA NV;NL0012768675;SF
8916Y6;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;IMCD GROUP;IMCD GROUP;IMCD GROUP;NL0010801007;E 
870979;Y;EQ;S;UNITED STATES;GERMANY;E;NL;INDIGO NV (FRA) DEAD - DELIST.12/04/02;INDIGO NV (FRA) DEAD - DELIST.12/04/02;INDIGO NV;NL0000224988;E 
531865;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ING GROEP;ING GROEP;ING GROEP;NL0011821202;E 
679334;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;INNOCONCEPTS NM DEAD - 01/11/11;INNOCONCEPTS NM DEAD - 01/11/11;INNOCONCEPTS NM NV;NL0000361145;E 
9930PZ;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;LU;INPOST;INPOST;INPOST SA;LU2290522684;E 
982015;Y;UT;P;NETHERLANDS;NA;E;NL;INSINGER DE BEAUFORT MLT.MANAGER INTL.EQ.;INSINGER DE BEAUFORT MULTI MANAGER INTERNATIONAL EQUITY;INSINGER DE BEAUFORT;NL0000284883;E 
673253;Y;EQ;P;NETHERLANDS;BELGIUM;E;NL;INTERNOC HOLDING (BRU) DEAD - 07/11/01;INTERNOC HOLDING (BRU) DEAD - 07/11/01;INTERNOC HOLDING;NL0000361632;E 
8664Y4;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;INTERTRUST;INTERTRUST;INTERTRUST GROUP HOLDING;NL0010937058;E 
74525R;Y;EQ;P;UNITED STATES;UNITED STATES;U$;NL;INTERXION HOLDING DEAD - DELIST.13/03/20;INTERXION HOLDING DEAD - DELIST.13/03/20;INTERXION HOLDING NV;NL0009693779;U$
26698U;Y;EQ;S;SWITZERLAND;NETHERLANDS;E;CH;ISOTIS NEW (AMS) DEAD - 30/07/07;ISOTIS NEW (AMS) DEAD - 30/07/07;ISOTIS SA;CH0012572522;E 
916371;Y;EQ;P;AUSTRALIA;AUSTRALIA;A$;AU;JAMES HARDIE INDS.CDI.;JAMES HARDIE INDUSTRIES CHESS DEPOSITARY INTEREST;JAMES HARDIE INDUSTRIES PUBLIC LIMITED COMPANY;AU000000JHX1;A$
9746L8;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;JDE PEET S;JDE PEET S;JDE PEETS NV;NL0014332678;E 
278304;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;JETIX EUROPE DEAD - 27/02/09;JETIX EUROPE DEAD - 27/02/09;JETIX EUROPE NV;NL0000352524;E 
289082;Y;EQ;P;NETHERLANDS;SWITZERLAND;SF;NL;JOMED (SWX) DEAD - DELIST 30/09/03;JOMED (SWX) DEAD - DELIST 30/09/03;JOMED NV;NL0000233617;SF
290206;Y;EQ;P;GERMANY;GERMANY;E;NL;JUBII EUROPE DEAD - DELIST.05/07/21;JUBII EUROPE DEAD - DELIST.05/07/21;JUBII EUROPE N V;NL0000233195;E 
2600CP;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;JUST EAT TAKEAWAY.COM;JUST EAT TAKEAWAY.COM;JUST EAT TAKEAWAY COM NV;NL0012015705;E 
27267R;Y;EQ;S;NETHERLANDS;NETHERLANDS;E;NL;KARDAN N V -L (AMS) DEAD - DELIST.31/08/20;KARDAN N V -L (AMS) DEAD - DELIST.31/08/20;KARDAN N V;NL0000113652;E 
741048;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KAS BANK DEAD - DELIST.05/11/19;KAS BANK DEAD - DELIST.05/11/19;KAS BANK C DUTCH CERT NV;NL0000362648;E 
51420U;Y;EQ;P;NETHERLANDS;UNITED KINGDOM;£;NL;KDD GROUP (DI) DEAD - 03/10/12;KDD GROUP (DI) DEAD - 03/10/12;KDD GROUP NV;NL0006146185;£ 
944573;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KEMPEN & CO DEAD - DLEIST 03/09/01;KEMPEN & CO DEAD - DLEIST 03/09/01;KEMPEN & CO NV;NL0000363323;E 
533120;Y;UT;NA;NETHERLANDS;NA;E;NL;KEMPEN GLOBAL BOND FUND MERGED SEE 758264;KEMPEN GLOBAL BOND FUND MERGED SEE 758264;KEMPEN GLOBAL BOND FUND;NL0006311623;E 
932895;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KENDRION;KENDRION;KENDRION NV;NL0000852531;E 
96622V;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KIADIS DEAD - DELIST.25/05/21;KIADIS DEAD - DELIST.25/05/21;KIADIS;NL0011323407;E 
36122M;Y;EQ;P;GERMANY;GERMANY;E;NL;KIDS BRANDS HOUSE;KIDS BRANDS HOUSE;KIDS BRANDS HOUSE AG;NL0010273975;E 
32470H;Y;EQ;P;UNITED KINGDOM;UNITED KINGDOM;£;NL;KIMBERLY ENTERPRISES (LON);KIMBERLY ENTERPRISES (LON);KIMBERLY ENTERPRISES NV;NL0000051043;£ 
9911W0;Y;EQ;P;NORWAY;NORWAY;NK;NL;KINGFISH COMPANY;KINGFISH COMPANY;KINGFISH COMPANY NV;NL00150001S5;NK
932836;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KLENE HLDG. DEAD - T/O BY 998416;KLENE HOLDING DEAD - T/O BY 998416;KLENE HOLDING;NL0000364222;E 
912520;N;EQ;S;NETHERLANDS;NETHERLANDS;E;NL;KLM (AMS) DEAD - DELIST 14/06/04;KLM (AMS) DEAD - DELIST 14/06/04;KLM ROYAL DUTCH AIRLINES;NL0000009645;E 
932864;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KNSF DEAD - DELIST.01/06/01;KNSF DEAD - DELIST.01/06/01;KNSF;NL0000373462;E 
932828;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;KONDOR WESSELS GROEP DEAD - MERGER 952355;KONDOR WESSELS GROEP DEAD - MERGER 952355;KONDOR WESSELS GROEP NV;NL0000364636;FL
916642;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KONINKLIJKE AHOLD DELHAIZE;KONINKLIJKE AHOLD DELHAIZE;KONINKLIJKE AHOLD DELHAIZE NV;NL0011794037;E 
899432;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KONINKLIJKE BRILL DUTCH CERTIFICATES;KONINKLIJKE BRILL DUTCH CERTIFICATES;KONINKLIJKE BRILL NV;NL0000442523;E 
27189Q;Y;EQ;P;UNITED KINGDOM;UNITED KINGDOM;£;N/A;KONINKLIJKE COOPERATIE C OSUN U A;KONINKLIJKE COOPERATIE C OSUN U A;KONINKLIJKE COOPERATIE C;NA;£ 
30165N;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;KONINKLIJKE NEDLLOYD NV;KONINKLIJKE NEDLLOYD NV;KONINKLIJKE NEDLLOYD NV;NA;E 
278066;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KONINKLIJKE VOPAK;KONINKLIJKE VOPAK;KONINKLIJKE VOPAK NV;NL0009432491;E 
142440;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KPN KON;KPN KON;KONINKLIJKE KPN NV;NL0000009082;E 
275883;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KPN QWEST 'C' DEAD - 16/04/10;KPN QWEST 'C' DEAD - 16/04/10;KPNQWEST NON VOTING;NL0000364925;E 
932842;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KRASNAPOLSKY GRAND HOTEL DEAD - TAKEOVR 27/9/00;KRASNAPOLSKY GRAND HOTEL DEAD - TAKEOVR 27/9/00;KRASNAPOLSKY GRAND HOTEL;NL0000365641;E 
690346;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KSI INTL. NM DEAD - DELIST 15/10/01;KSI INTERNATIONAL NM DEAD - DELIST 15/10/01;KSI INTERNATIONAL NM;NL0000365906;E 
755381;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;KUHNE & HEITZ DEAD - 11/05/05;KUHNE & HEITZ DEAD - 11/05/05;KUHNE & HEITZ NV;NL0000441343;E 
679312;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;LANDIS GROUP DEAD - DEAD;LANDIS GROUP DEAD - DEAD;LANDIS GROUP;NL0000366011;E 
932846;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;LANDRE & MERREM DEAD - T/OVER 701595;LANDRE & MERREM DEAD - T/OVER 701595;LANDRE & MERREM;NL0000366367;E 
690103;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;LAVIDE HOLDING;LAVIDE HOLDING;LAVIDE HOLDING NV;NL0010545679;E 
772818;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;LCI TECHNOLOGY GROUP DEAD - DEAD;LCI TECHNOLOGY GROUP DEAD - DEAD;LCI TECHNOLOGY GROUP;NL0000441335;E 
923112;Y;UT;P;IRELAND;NA;U$;IE;LEVERAGED CAPITAL HOLDINGS FUND A USD;LEVERAGED CAPITAL HOLDINGS FUND A USD;LEVERAGED CAPITAL;IE00BN575V26;U$
30461E;Y;EQ;P;SINGAPORE;SINGAPORE;S$;AN;LMA INTERNATIONAL NV. DEAD - DELIST.14/11/12;LMA INTERNATIONAL NON VOTING DEAD - DELIST.14/11/12;LMA INTERNATIONAL NON VOTING;ANN2879J1070;S$
9293V3;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;LUCASBOLS;LUCASBOLS;LUCASBOLS;NL0010998878;E 
