Date;23-9-2021;;;;;;;;;;
Type;MAJOR FLAG;STOCK TYPE;QUOTE INDICATOR;GEOGRAPHIC DESCR.;GEOG DESC OF LSTNG;CURRENCY;ISIN ISSUER CTRY;NAME;FULL NAME;COMPANY NAME;ISIN CODE
7493HR;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ASR NEDERLAND;ASR NEDERLAND;ASR NEDERLAND;NL0011872643
67889J;Y;EQ;S;AUSTRIA;NETHERLANDS;E;JE;ATRIUM EUROPEAN (AMS) RLST.;ATRIUM EUROPEAN (AMS) REAL ESTATE;ATRIUM EUROPEAN REAL ESTATE LIMITED;JE00B3DCF752
51268X;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;AVANTIUM;AVANTIUM;AVANTIUM NV;NL0012047823
9278T1;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;LU;B&S GROUP;B&S GROUP;B&S GROUP SA;LU1789205884
932775;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BAM GROEP KON.;BAM GROEP KONINKLIJKE;KONINKLIJKE BAM GROEP NV;NL0000337319
7493HQ;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BASIC-FIT;BASIC-FIT;BASIC-FIT;NL0011872650
866096;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BE SEMICONDUCTOR INDUSTRIES;BE SEMICONDUCTOR INDUSTRIES;BE SEMICONDUCTOR INDUSTRIES;NL0012866412
882832;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BETER BED HOLDING;BETER BED HOLDING;BETER BED HOLDING NV;NL0000339703
922358;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BOSKALIS WESTMINSTER;BOSKALIS WESTMINSTER;KONINKLIJKE BOSKALIS WESTMINSTER NV;NL0000852580
41345F;Y;CF;P;NETHERLANDS;NETHERLANDS;E;GG;BOUSSARD & GAVAUDAN HOLDING EUR;BOUSSARD & GAVAUDAN HOLDING EUR;BOUSSARD GAVAUDAN E;GG00B1FQG453
53720W;N;CF;P;NETHERLANDS;NETHERLANDS;£;GG;BOUSSARD & GAVAUDAN HOLDING GBX;BOUSSARD & GAVAUDAN HOLDING GBX;BOUSSARD GAVAUDAN E;GG00B39VMM07
897486;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BRUNEL INTL.;BRUNEL INTERNATIONAL;BRUNEL INTERNATIONAL NV;NL0010776944
2584EN;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CLIMATE TRANSITION CAPITAL ACQUISITION I;CLIMATE TRANSITION CAPITAL ACQUISITION I;CLIMATE TRANSITION CAPITAL ACQUISITION I BV;NL0015000DC9
9271JC;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CM COM;CM COM;CM COM NV;NL0012747059
7494P5;Y;EQ;S;UNITED STATES;NETHERLANDS;E;GB;COCA COLA (AMS) EUROPACIFIC PARTNERS;COCA COLA (AMS) EUROPACIFIC PARTNERS;C-CLARIDEN EUROPACIFIC PARTNERS;GB00BDCPN049
933025;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CORBION;CORBION;CORBION;NL0010583399
87143V;Y;EQ;S;UNITED STATES;NETHERLANDS;E;NL;CORE LABORATORIES (AMS);CORE LABORATORIES (AMS);CORE LABORATORIES;NL0000200384
2583JL;Y;EQ;P;NETHERLANDS;NETHERLANDS;U$;KY;CRYSTAL PEAK ACQUISITION;CRYSTAL PEAK ACQUISITION;CRYSTAL PEAK ACQUISITION;KYG2581M1078
676629;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CTAC NM;CTAC NM;CTAC NM NV;NL0000345577
2560J3;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CTP NV;CTP NV;CTP NV;NL00150006R6
932783;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DGB GROUP;DGB GROUP;DGB GROUP NV;NL0009169515
697057;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DPA GROUP;DPA GROUP;DPA GROUP NV;NL0009197771
779426;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DSM KONINKLIJKE;DSM KONINKLIJKE;KONINKLIJKE DSM;NL0000009827
9910PA;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;DUTCH STAR COMPANIES TWO;DUTCH STAR COMPANIES TWO;DUTCH STAR COMPANIES TWO BV;NL00150000S7
892007;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;EASY2PAY;EASY2PAY;EASE2PAY NV;NL0000345627
2589W3;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ENERGY TRANSITION PARTNERS;ENERGY TRANSITION PARTNERS;ENTP SHARES WI;NL0015000F82
685172;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ENVIPCO HOLDING;ENVIPCO HOLDING;ENVIPCO HOLDING NV;NL0015000GX8
99347Y;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;ESG CORE INVESTMENTS;ESG CORE INVESTMENTS;ESG CORE INVESTMENTS BV;NL00150006O3
